experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_odd
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,0,0.0,0,fca6,fca6,True,0,correct,0,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
timing_sweep,even_odd,_todd2,1,0.0,0,1b95,1b95,True,0,correct,1,True,2
